file,raw_hrr,scaled_linear,affine_linear,cychrr_t,dataset,target,scenario,ID
A3010.xlsx,0.02847222222222222,0.02319655987846415,0.02286877137755,0.027226162332545295,Graded-test temporal holdout,load_fraction,exclude each unit target maximum,
A3011.xlsx,0.015254237288135583,0.029361385628685944,0.02950187040419482,0.03717527480599958,Graded-test temporal holdout,load_fraction,exclude each unit target maximum,
A3012.xlsx,0.1,0.06882927905268046,0.0691971838390035,0.05854914168995813,Graded-test temporal holdout,load_fraction,exclude each unit target maximum,
A3013.xlsx,0.07222222222222222,0.0463095145777604,0.044738482012748076,0.03661461829573211,Graded-test temporal holdout,load_fraction,exclude each unit target maximum,
A3014.xlsx,0.023529411764705865,0.04858822664392355,0.05052362592848192,0.05849904973809846,Graded-test temporal holdout,load_fraction,exclude each unit target maximum,
A3018.xlsx,0.061764705882352916,0.03922705225622725,0.04013452203415438,0.03210971775721836,Graded-test temporal holdout,load_fraction,exclude each unit target maximum,
A3019.xlsx,0.09635385534967124,0.06922154071755285,0.06806755076236119,0.0619285008903613,Graded-test temporal holdout,load_fraction,exclude each unit target maximum,
A3020.xlsx,0.020833333333333343,0.04437372154875696,0.046881347938424925,0.05368400315208821,Graded-test temporal holdout,load_fraction,exclude each unit target maximum,
A3022.xlsx,0.056490384615384616,0.04598477355185354,0.04903796643307152,0.04757639500888278,Graded-test temporal holdout,load_fraction,exclude each unit target maximum,
A3023.xlsx,0.04651515151515151,0.024198516084086946,0.024247733195601934,0.019350598180385415,Graded-test temporal holdout,load_fraction,exclude each unit target maximum,
A3024.xlsx,0.056073192635832915,0.03959358782371245,0.03956457250268658,0.031720299204687843,Graded-test temporal holdout,load_fraction,exclude each unit target maximum,
A3027.xlsx,0.06437389770723106,0.03977298812566846,0.03819973619431796,0.03249623113407873,Graded-test temporal holdout,load_fraction,exclude each unit target maximum,
A3031.xlsx,0.02572427572427569,0.016911458590460813,0.01653641814073273,0.018013662551305747,Graded-test temporal holdout,load_fraction,exclude each unit target maximum,
A3032.xlsx,0.02578981302385557,0.051350909545372046,0.05309702134112659,0.06144397657357207,Graded-test temporal holdout,load_fraction,exclude each unit target maximum,
A3036.xlsx,0.03541666666666666,0.034524134329487206,0.03250514435485521,0.03645422905174678,Graded-test temporal holdout,load_fraction,exclude each unit target maximum,
A3037.xlsx,0.05670210548259326,0.03051532094690475,0.029396977165926843,0.02450050109493321,Graded-test temporal holdout,load_fraction,exclude each unit target maximum,
A3039.xlsx,0.057461344839985586,0.041238263051033,0.039621069057496246,0.038321522658586946,Graded-test temporal holdout,load_fraction,exclude each unit target maximum,
A3041.xlsx,0.05066666666666668,0.0736290977645254,0.07635453034539612,0.08270112949829257,Graded-test temporal holdout,load_fraction,exclude each unit target maximum,
