file,raw_linear,scaled_linear,affine_linear,cycling_tail,dataset,target,representation,ID
A3049.xlsx,0.05912548615877372,0.03951543857300987,0.045219542081470075,0.033476305832921306,Graded-test temporal holdout,vo2r,continuous,
A3051.xlsx,0.079629556511935,0.054204524543466956,0.054428875161686666,0.05296721991783548,Graded-test temporal holdout,vo2r,continuous,
A3052.xlsx,0.04017551385972436,0.04321625129522954,0.03658400431111217,0.04115890479017317,Graded-test temporal holdout,vo2r,continuous,
A3053.xlsx,0.026976704521227475,0.031355412888754854,0.02543875865886634,0.042285025373068066,Graded-test temporal holdout,vo2r,continuous,
A3056.xlsx,0.06188814531548755,0.030311374725512742,0.03471220077395142,0.028531499662742682,Graded-test temporal holdout,vo2r,continuous,
A3057.xlsx,0.11234850966262694,0.08018199587890878,0.08251897534627609,0.07620364444252847,Graded-test temporal holdout,vo2r,continuous,
A3058.xlsx,0.023076923076923148,0.025883483154488046,0.030762046200886774,0.026199729778066227,Graded-test temporal holdout,vo2r,continuous,
A3059.xlsx,0.021816891150630135,0.03571370634047357,0.028726668285893063,0.03928605375071837,Graded-test temporal holdout,vo2r,continuous,
A3060.xlsx,0.05106336107836484,0.042282890674224326,0.04484735017459295,0.03409005283753315,Graded-test temporal holdout,vo2r,continuous,
A3062.xlsx,0.02735835490365259,0.03550290651405244,0.03542177458767079,0.03552994916247946,Graded-test temporal holdout,vo2r,continuous,
A3063.xlsx,0.034392544607341716,0.014436670778388177,0.021545152059424765,0.008652983283320865,Graded-test temporal holdout,vo2r,continuous,
A3066.xlsx,0.02423043805833601,0.03265614013686588,0.02639643777647667,0.0345140520111168,Graded-test temporal holdout,vo2r,continuous,
A3071.xlsx,0.0723358821476795,0.039643774443427905,0.04247850005109765,0.036456150222731055,Graded-test temporal holdout,vo2r,continuous,
A3072.xlsx,0.10100767754318617,0.06822902295151684,0.06957167227943722,0.07061916964017158,Graded-test temporal holdout,vo2r,continuous,
