dataset,target,scenario,n_complete_units,n_observations,comparator,comparator_mae,cychrr_t_mae,delta_mae_tail_minus_comparator,delta_ci_low,delta_ci_high,absolute_difference_percentage_points,cychrr_t_wins
ACTES external validation,vo2r,exclude HRR >= 0.95,18,1389,scaled_linear,0.05846066525684406,0.05662263012901022,-0.0018380351278338572,-0.003120389107723999,-0.00042021024545031493,-0.18380351278338572,13
ACTES external validation,vo2r,exclude HRR >= 0.95,18,1389,affine_linear,0.061548077819054484,0.05662263012901022,-0.004925447690044271,-0.008272101273357159,-0.001221343706725834,-0.4925447690044271,14
ACTES external validation,power_fraction,all observations,18,1541,raw_hrr,0.10321211906191137,0.08073148398336424,-0.022480635078547126,-0.02635868728104753,-0.017936416844177423,-2.2480635078547127,17
ACTES external validation,power_fraction,all observations,18,1541,scaled_linear,0.08615288188715312,0.08073148398336424,-0.005421397903788853,-0.006836918255787424,-0.0039065679509665266,-0.5421397903788854,16
ACTES external validation,power_fraction,all observations,18,1541,affine_linear,0.08451939607043295,0.08073148398336424,-0.0037879120870686882,-0.005322955133996642,-0.0022231276688229294,-0.37879120870686883,16
ACTES external validation,power_fraction,exclude each unit target maximum,18,1476,raw_hrr,0.10728478384723186,0.08320437819519716,-0.024080405652034693,-0.028202469454552927,-0.01936140532268004,-2.408040565203469,17
ACTES external validation,power_fraction,exclude each unit target maximum,18,1476,scaled_linear,0.08792205805854708,0.08320437819519716,-0.004717679863349926,-0.006152010684953234,-0.0031395268833213415,-0.4717679863349926,16
ACTES external validation,power_fraction,exclude each unit target maximum,18,1476,affine_linear,0.08632513744002143,0.08320437819519716,-0.0031207592448242736,-0.004622474158003802,-0.0014747566126382425,-0.3120759244824274,15
ACTES external validation,power_fraction,exclude HRR >= 0.95,18,1389,raw_hrr,0.11016808955778509,0.08558700121553127,-0.024581088342253806,-0.029057984839200687,-0.019544605399275314,-2.4581088342253805,17
ACTES external validation,power_fraction,exclude HRR >= 0.95,18,1389,scaled_linear,0.09148845482444504,0.08558700121553127,-0.005901453608913757,-0.007453234291757508,-0.004166405660645618,-0.5901453608913757,16
ACTES external validation,power_fraction,exclude HRR >= 0.95,18,1389,affine_linear,0.08969150088229555,0.08558700121553127,-0.004104499666764275,-0.005813240473012415,-0.002294826244234336,-0.4104499666764275,15
