file,raw_hrr_exact,raw_hrr_within_one,raw_hrr_bin_error,scaled_linear_exact,scaled_linear_within_one,scaled_linear_bin_error,affine_linear_exact,affine_linear_within_one,affine_linear_bin_error,cychrr_t_exact,cychrr_t_within_one,cychrr_t_bin_error,dataset,target,ID
A3020.xlsx,0.8888888888888888,1.0,0.1111111111111111,0.6666666666666666,1.0,0.3333333333333333,0.7777777777777778,1.0,0.2222222222222222,0.6666666666666666,1.0,0.3333333333333333,Graded-test temporal holdout,vo2r,
A3022.xlsx,0.5555555555555556,0.8888888888888888,0.5555555555555556,0.5555555555555556,0.8888888888888888,0.5555555555555556,0.6666666666666666,1.0,0.3333333333333333,0.5555555555555556,0.8888888888888888,0.5555555555555556,Graded-test temporal holdout,vo2r,
A3023.xlsx,0.7142857142857143,1.0,0.2857142857142857,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,Graded-test temporal holdout,vo2r,
A3024.xlsx,0.3333333333333333,0.5555555555555556,1.1111111111111112,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,Graded-test temporal holdout,vo2r,
A3027.xlsx,0.6,1.0,0.4,0.9,1.0,0.1,0.7,1.0,0.3,0.8,1.0,0.2,Graded-test temporal holdout,vo2r,
A3031.xlsx,0.5,1.0,0.5,0.625,1.0,0.375,0.625,1.0,0.375,0.625,1.0,0.375,Graded-test temporal holdout,vo2r,
A3032.xlsx,0.5714285714285714,1.0,0.42857142857142855,0.42857142857142855,1.0,0.5714285714285714,0.5714285714285714,1.0,0.42857142857142855,0.42857142857142855,1.0,0.5714285714285714,Graded-test temporal holdout,vo2r,
A3036.xlsx,0.4444444444444444,1.0,0.5555555555555556,0.7777777777777778,1.0,0.2222222222222222,0.6666666666666666,1.0,0.3333333333333333,0.8888888888888888,1.0,0.1111111111111111,Graded-test temporal holdout,vo2r,
A3037.xlsx,0.9,1.0,0.1,0.8,1.0,0.2,0.9,1.0,0.1,0.6,1.0,0.4,Graded-test temporal holdout,vo2r,
A3039.xlsx,0.6,1.0,0.4,0.6,1.0,0.4,0.6,1.0,0.4,0.7,1.0,0.3,Graded-test temporal holdout,vo2r,
A3041.xlsx,0.4,1.0,0.6,0.1,1.0,0.9,0.2,1.0,0.8,0.1,1.0,0.9,Graded-test temporal holdout,vo2r,
A3043.xlsx,0.5,1.0,0.5,0.5,1.0,0.5,0.5,1.0,0.5,0.375,1.0,0.625,Graded-test temporal holdout,vo2r,
A3045.xlsx,0.5,1.0,0.5,0.375,1.0,0.625,0.5,1.0,0.5,0.375,1.0,0.625,Graded-test temporal holdout,vo2r,
A3049.xlsx,0.25,1.0,0.75,0.5,1.0,0.5,0.5,1.0,0.5,0.5,1.0,0.5,Graded-test temporal holdout,vo2r,
A3051.xlsx,0.4444444444444444,1.0,0.5555555555555556,0.5555555555555556,1.0,0.4444444444444444,0.5555555555555556,1.0,0.4444444444444444,0.5555555555555556,1.0,0.4444444444444444,Graded-test temporal holdout,vo2r,
A3052.xlsx,0.6666666666666666,0.8888888888888888,0.4444444444444444,0.6666666666666666,0.8888888888888888,0.4444444444444444,0.6666666666666666,1.0,0.3333333333333333,0.6666666666666666,0.8888888888888888,0.4444444444444444,Graded-test temporal holdout,vo2r,
A3053.xlsx,0.8571428571428571,1.0,0.14285714285714285,0.8571428571428571,1.0,0.14285714285714285,0.8571428571428571,1.0,0.14285714285714285,0.7142857142857143,1.0,0.2857142857142857,Graded-test temporal holdout,vo2r,
A3056.xlsx,0.5,1.0,0.5,0.8,1.0,0.2,0.8,1.0,0.2,0.8,1.0,0.2,Graded-test temporal holdout,vo2r,
