file,raw_hrr,scaled_linear,affine_linear,cychrr_t,dataset,target,hrr_band,ID
A3066.xlsx,0.041330319664191206,0.005292968417209831,0.002622307129596102,0.0035039883280114648,Graded-test temporal holdout,vo2r,0.80-<0.90,
A3071.xlsx,0.0873044771137712,0.05031019502868517,0.04646100714067847,0.041279645111388596,Graded-test temporal holdout,vo2r,0.80-<0.90,
A3072.xlsx,0.1650846274646659,0.12892877815749137,0.12611217830204002,0.12010289524889117,Graded-test temporal holdout,vo2r,0.80-<0.90,
A4000.xlsx,0.23765709156193893,0.19941532787165817,0.1940297799911832,0.19008025941063877,Graded-test temporal holdout,vo2r,0.80-<0.90,
A4001.xlsx,0.07667690732206855,0.03921558778873224,0.03479121093802806,0.030071030928958187,Graded-test temporal holdout,vo2r,0.80-<0.90,
A530.xlsx,0.12727417176451894,0.08996513401790351,0.08572830273398385,0.08085775015349445,Graded-test temporal holdout,vo2r,0.80-<0.90,
A531.xlsx,0.03503368401624213,0.01486066507100936,0.016355820006208277,0.015157016450724203,Graded-test temporal holdout,vo2r,0.80-<0.90,
A535.xlsx,0.23255684195843218,0.19538727725012184,0.19132221667222915,0.186313939680533,Graded-test temporal holdout,vo2r,0.80-<0.90,
A536.xlsx,0.0009492168960607561,0.03517419836822777,0.03795085345361071,0.04399216391158134,Graded-test temporal holdout,vo2r,0.80-<0.90,
A538.xlsx,0.10812638640913269,0.07015330021550492,0.06509864727970516,0.060883817715570054,Graded-test temporal holdout,vo2r,0.80-<0.90,
A543.xlsx,0.06786096256684493,0.029837723240508596,0.02472130324836941,0.02055599802783792,Graded-test temporal holdout,vo2r,0.80-<0.90,
A547.xlsx,0.0021392134276781993,0.036473829521731504,0.04231663352316539,0.04589952971538214,Graded-test temporal holdout,vo2r,0.80-<0.90,
A577.xlsx,0.08068143891573432,0.0422062090246581,0.03653313134895264,0.03281414991369358,Graded-test temporal holdout,vo2r,0.80-<0.90,
