family,parameter,participants,median_participant_rho
entropic_hrr,1.2,9,0.3417203882989618
entropic_hrr,1.3,9,0.3417203882989618
entropic_hrr,1.4,9,0.3417203882989618
entropic_hrr,1.5,9,0.3417203882989618
entropic_hrr,1.6,9,0.3417203882989618
entropic_hrr,1.7,9,0.3417203882989618
entropic_hrr,1.8,9,0.3417203882989618
entropic_hrr,1.9,9,0.3417203882989618
entropic_hrr,2.0,9,0.3417203882989618
entropic_hrr,2.1,9,0.3417203882989618
entropic_hrr,2.2,9,0.40385136798968213
entropic_hrr,2.3,9,0.40385136798968213
entropic_hrr,2.4,9,0.40385136798968213
entropic_hrr,2.5,9,0.40385136798968213
entropic_hrr,2.6,9,0.40385136798968213
entropic_hrr,2.7,9,0.40385136798968213
entropic_hrr,2.8,9,0.40385136798968213
entropic_hrr,2.9,9,0.40385136798968213
entropic_hrr,3.0,9,0.40385136798968213
entropic_hrr,3.1,9,0.40385136798968213
entropic_hrr,3.2,9,0.42870375986597026
entropic_hrr,3.3,9,0.42870375986597026
entropic_hrr,3.4,9,0.42870375986597026
entropic_hrr,3.5,9,0.5156871314329786
entropic_hrr,3.6,9,0.5156871314329786
entropic_hrr,3.7,9,0.5156871314329786
entropic_hrr,3.8,9,0.5156871314329786
entropic_hrr,3.9,9,0.5156871314329786
entropic_hrr,4.0,9,0.5156871314329786
entropic_hrr,4.1,9,0.5405395233092668
entropic_hrr,4.2,9,0.5405395233092668
entropic_hrr,4.3,9,0.5405395233092668
entropic_hrr,4.4,9,0.6026705029999871
entropic_hrr,4.5,9,0.6026705029999871
entropic_hrr,4.6,9,0.6026705029999871
entropic_hrr,4.7,9,0.6026705029999871
entropic_hrr,4.8,9,0.6026705029999871
entropic_hrr,4.9,9,0.6026705029999871
entropic_hrr,5.0,9,0.6026705029999871
entropic_hrr,5.1,9,0.6026705029999871
entropic_hrr,5.2,9,0.6026705029999871
entropic_hrr,5.3,9,0.6026705029999871
entropic_hrr,5.4,9,0.6026705029999871
entropic_hrr,5.5,9,0.6026705029999871
entropic_hrr,5.6,9,0.6523752867525634
entropic_hrr,5.7,9,0.6523752867525634
entropic_hrr,5.8,9,0.6523752867525634
entropic_hrr,5.9,9,0.6523752867525634
entropic_hrr,6.0,9,0.6523752867525634
entropic_hrr,6.1,9,0.6523752867525634
entropic_hrr,6.2,9,0.6523752867525634
entropic_hrr,6.3,9,0.6523752867525634
entropic_hrr,6.4,9,0.6523752867525634
entropic_hrr,6.5,9,0.6523752867525634
entropic_hrr,6.6,9,0.6523752867525634
entropic_hrr,6.7,9,0.6523752867525634
entropic_hrr,6.8,9,0.6523752867525634
entropic_hrr,6.9,9,0.6523752867525634
entropic_hrr,7.0,9,0.6523752867525634
entropic_hrr,7.1,9,0.6523752867525634
entropic_hrr,7.2,9,0.6523752867525634
entropic_hrr,7.3,9,0.6523752867525634
entropic_hrr,7.4,9,0.6523752867525634
entropic_hrr,7.5,9,0.6523752867525634
entropic_hrr,7.6,9,0.6523752867525634
entropic_hrr,7.7,9,0.6523752867525634
entropic_hrr,7.8,9,0.6523752867525634
entropic_hrr,7.9,9,0.6523752867525634
entropic_hrr,8.0,9,0.6523752867525634
entropic_hrr,8.1,9,0.6523752867525634
entropic_hrr,8.2,9,0.6523752867525634
entropic_hrr,8.3,9,0.6523752867525634
entropic_hrr,8.4,9,0.6523752867525634
entropic_hrr,8.5,9,0.6523752867525634
entropic_hrr,8.6,9,0.6523752867525634
entropic_hrr,8.7,9,0.6523752867525634
entropic_hrr,8.8,9,0.6523752867525634
entropic_hrr,8.9,9,0.6523752867525634
entropic_hrr,9.0,9,0.6523752867525634
entropic_hrr,9.1,9,0.6523752867525634
entropic_hrr,9.2,9,0.6523752867525634
entropic_hrr,9.3,9,0.6523752867525634
entropic_hrr,9.4,9,0.6523752867525634
entropic_hrr,9.5,9,0.6523752867525634
entropic_hrr,9.6,9,0.6523752867525634
entropic_hrr,9.7,9,0.6523752867525634
entropic_hrr,9.8,9,0.6523752867525634
entropic_hrr,9.9,9,0.6523752867525634
entropic_hrr,10.0,9,0.6523752867525634
entropic_hrr,10.1,9,0.6523752867525634
entropic_hrr,10.2,9,0.6523752867525634
entropic_hrr,10.3,9,0.6523752867525634
entropic_hrr,10.4,9,0.6523752867525634
entropic_hrr,10.5,9,0.6523752867525634
entropic_hrr,10.6,9,0.6523752867525634
entropic_hrr,10.7,9,0.6523752867525634
entropic_hrr,10.8,9,0.6523752867525634
entropic_hrr,10.9,9,0.6523752867525634
entropic_hrr,11.0,9,0.6523752867525634
entropic_hrr,11.1,9,0.6523752867525634
entropic_hrr,11.2,9,0.6523752867525634
entropic_hrr,11.3,9,0.6523752867525634
entropic_hrr,11.4,9,0.6523752867525634
entropic_hrr,11.5,9,0.6523752867525634
entropic_hrr,11.6,9,0.6523752867525634
entropic_hrr,11.7,9,0.6523752867525634
entropic_hrr,11.8,9,0.6523752867525634
entropic_hrr,11.9,9,0.6523752867525634
entropic_hrr,12.0,9,0.6523752867525634
entropic_hrr,12.1,9,0.6523752867525634
entropic_hrr,12.2,9,0.6523752867525634
entropic_hrr,12.3,9,0.6523752867525634
entropic_hrr,12.4,9,0.6523752867525634
entropic_hrr,12.5,9,0.6523752867525634
entropic_hrr,12.6,9,0.6523752867525634
entropic_hrr,12.7,9,0.6523752867525634
entropic_hrr,12.8,9,0.6523752867525634
entropic_hrr,12.9,9,0.6523752867525634
entropic_hrr,13.0,9,0.6523752867525634
entropic_hrr,13.1,9,0.6523752867525634
entropic_hrr,13.2,9,0.6523752867525634
