hrr,raw_identity,cycling_transfer
0.326,0.326,0.308274231678487
0.328,0.328,0.31016548463356974
0.33,0.33,0.3120567375886525
0.332,0.332,0.31394799054373523
0.334,0.334,0.315839243498818
0.336,0.336,0.3177304964539007
0.338,0.338,0.3196217494089834
0.34,0.34,0.32151300236406616
0.342,0.342,0.3234042553191489
0.34400000000000003,0.34400000000000003,0.32529550827423165
0.34600000000000003,0.34600000000000003,0.3271867612293144
0.34800000000000003,0.34800000000000003,0.32907801418439714
0.35000000000000003,0.35000000000000003,0.3309692671394799
0.352,0.352,0.3328605200945626
0.354,0.354,0.3347517730496453
0.356,0.356,0.33664302600472806
0.358,0.358,0.3385342789598108
0.36,0.36,0.34042553191489355
0.362,0.362,0.3423167848699763
0.364,0.364,0.34420803782505904
0.366,0.366,0.3460992907801418
0.368,0.368,0.34799054373522453
0.37,0.37,0.3498817966903073
0.372,0.372,0.35177304964539
0.374,0.374,0.35366430260047277
0.376,0.376,0.3555555555555555
0.378,0.378,0.35744680851063826
0.38,0.38,0.359338061465721
0.382,0.382,0.36122931442080375
0.384,0.384,0.3631205673758865
0.386,0.386,0.36501182033096924
0.388,0.388,0.366903073286052
0.39,0.39,0.36879432624113473
0.392,0.392,0.3706855791962175
0.394,0.394,0.3725768321513002
0.396,0.396,0.37446808510638296
0.398,0.398,0.3763593380614657
0.4,0.4,0.37825059101654845
0.402,0.402,0.3801418439716312
0.404,0.404,0.38203309692671394
0.406,0.406,0.3839243498817967
0.40800000000000003,0.40800000000000003,0.38581560283687943
0.41000000000000003,0.41000000000000003,0.3877068557919622
0.41200000000000003,0.41200000000000003,0.3895981087470449
0.41400000000000003,0.41400000000000003,0.39148936170212767
0.41600000000000004,0.41600000000000004,0.3933806146572104
0.418,0.418,0.3952718676122931
0.42,0.42,0.39716312056737585
0.422,0.422,0.3990543735224586
0.424,0.424,0.40094562647754134
0.426,0.426,0.4028368794326241
0.428,0.428,0.40472813238770683
0.43,0.43,0.4066193853427896
0.432,0.432,0.4085106382978723
0.434,0.434,0.41040189125295506
0.436,0.436,0.4122931442080378
0.438,0.438,0.4141843971631205
0.44,0.44,0.41607565011820324
0.442,0.442,0.417966903073286
0.444,0.444,0.41985815602836873
0.446,0.446,0.4217494089834515
0.448,0.448,0.4236406619385342
0.45,0.45,0.42553191489361697
0.452,0.452,0.4274231678486997
0.454,0.454,0.42931442080378246
0.456,0.456,0.4312056737588652
0.458,0.458,0.43309692671394795
0.46,0.46,0.4349881796690307
0.462,0.462,0.43687943262411344
0.464,0.464,0.4387706855791962
0.466,0.466,0.44066193853427893
0.468,0.468,0.4425531914893617
0.47000000000000003,0.47000000000000003,0.4444444444444444
0.47200000000000003,0.47200000000000003,0.44633569739952716
0.47400000000000003,0.47400000000000003,0.4482269503546099
0.47600000000000003,0.47600000000000003,0.45011820330969265
0.47800000000000004,0.47800000000000004,0.4520094562647754
0.48,0.48,0.4539007092198581
0.482,0.482,0.45579196217494083
0.484,0.484,0.4576832151300236
0.486,0.486,0.4595744680851063
0.488,0.488,0.46146572104018907
0.49,0.49,0.4633569739952718
0.492,0.492,0.46524822695035456
0.494,0.494,0.4671394799054373
0.496,0.496,0.46903073286052005
0.498,0.498,0.4709219858156028
0.5,0.5,0.47281323877068554
0.502,0.502,0.4747044917257683
0.504,0.504,0.47659574468085103
0.506,0.506,0.4784869976359338
0.508,0.508,0.4803782505910165
0.51,0.51,0.48226950354609927
0.512,0.512,0.484160756501182
0.514,0.514,0.48605200945626476
0.516,0.516,0.4879432624113475
0.518,0.518,0.48983451536643025
0.52,0.52,0.491725768321513
0.522,0.522,0.49361702127659574
0.524,0.524,0.4955082742316785
0.526,0.526,0.4973995271867612
0.528,0.528,0.49929078014184397
0.53,0.53,0.5011820330969267
0.532,0.532,0.5030732860520094
0.534,0.534,0.5049645390070922
0.536,0.536,0.5068557919621749
0.538,0.538,0.5087470449172576
0.54,0.54,0.5106382978723404
0.542,0.542,0.5125295508274231
0.544,0.544,0.5144208037825059
0.546,0.546,0.5163120567375886
0.548,0.548,0.5182033096926714
0.55,0.55,0.5200945626477541
0.552,0.552,0.5219858156028369
0.554,0.554,0.5238770685579196
0.556,0.556,0.5257683215130023
0.558,0.558,0.5276595744680851
0.56,0.56,0.5295508274231678
0.562,0.562,0.5314420803782506
0.5640000000000001,0.5640000000000001,0.5333333333333333
0.5660000000000001,0.5660000000000001,0.5352245862884161
0.5680000000000001,0.5680000000000001,0.5371158392434988
0.5700000000000001,0.5700000000000001,0.5390070921985816
0.5720000000000001,0.5720000000000001,0.5408983451536643
0.5740000000000001,0.5740000000000001,0.542789598108747
0.5760000000000001,0.5760000000000001,0.5446808510638298
0.578,0.578,0.5465721040189124
